x	rho	u	p	e
0.0025	1.33327	111.796	149995	281254
0.0075	1.33327	111.796	149995	281254
0.0125	1.33327	111.796	149995	281254
0.0175	1.33327	111.796	149995	281254
0.0225	1.33327	111.796	149995	281254
0.0275	1.33327	111.796	149995	281254
0.0325	1.33327	111.796	149995	281254
0.0375	1.33327	111.796	149995	281254
0.0425	1.33327	111.796	149995	281254
0.0475	1.33327	111.796	149995	281254
0.0525	1.33327	111.796	149995	281254
0.0575	1.33327	111.796	149995	281254
0.0625	1.33327	111.796	149995	281254
0.0675	1.33327	111.796	149995	281254
0.0725	1.33327	111.796	149995	281254
0.0775	1.33327	111.796	149995	281254
0.0825	1.33327	111.795	149995	281254
0.0875	1.33327	111.795	149995	281255
0.0925	1.33327	111.795	149995	281255
0.0975	1.33327	111.795	149995	281255
0.1025	1.33327	111.795	149995	281255
0.1075	1.33327	111.795	149995	281255
0.1125	1.33327	111.795	149995	281255
0.1175	1.33326	111.795	149995	281256
0.1225	1.33326	111.796	149995	281256
0.1275	1.33326	111.796	149995	281256
0.1325	1.33326	111.796	149995	281256
0.1375	1.33326	111.796	149995	281256
0.1425	1.33325	111.797	149995	281257
0.1475	1.33324	111.798	149994	281258
0.1525	1.33322	111.8	149993	281261
0.1575	1.33315	111.806	149990	281269
0.1625	1.33299	111.818	149983	281291
0.1675	1.33272	111.837	149973	281329
0.1725	1.33238	111.861	149961	281378
0.1775	1.33199	111.89	149945	281430
0.1825	1.3316	111.927	149926	281476
0.1875	1.33117	111.987	149894	281508
0.1925	1.33053	112.121	149823	281511
0.1975	1.32931	112.441	149654	281451
0.2025	1.32678	113.165	149273	281268
0.2075	1.32216	114.53	148555	280895
0.2125	1.31502	116.669	147437	280295
0.2175	1.30537	119.587	145923	279467
0.2225	1.29366	123.16	144087	278448
0.2275	1.28067	127.165	142053	277303
0.2325	1.26744	131.285	139987	276121
0.2375	1.25479	135.265	138015	274978
0.2425	1.24298	139.012	136180	273899
0.2475	1.23216	142.479	134501	272898
0.2525	1.22242	145.622	132994	271989
0.2575	1.21385	148.408	131670	271182
0.2625	1.2065	150.816	130535	270483
0.2675	1.20033	152.844	129585	269894
0.2725	1.19531	154.503	128812	269412
0.2775	1.19134	155.821	128201	269027
0.2825	1.18828	156.838	127731	268730
0.2875	1.18601	157.598	127380	268506
0.2925	1.18436	158.151	127126	268342
0.2975	1.18321	158.541	126946	268225
0.3025	1.18243	158.808	126824	268143
0.3075	1.18192	158.983	126743	268087
0.3125	1.18161	159.093	126692	268051
0.3175	1.18144	159.155	126664	268029
0.3225	1.18136	159.184	126650	268016
0.3275	1.18135	159.194	126645	268010
0.3325	1.18135	159.194	126645	268007
0.3375	1.18142	159.176	126653	268010
0.3425	1.18164	159.104	126685	268028
0.3475	1.18232	158.885	126785	268086
0.3525	1.18425	158.262	127071	268253
0.3575	1.18964	156.513	127877	268731
0.3625	1.20412	151.787	130070	270052
0.3675	1.22797	144.097	133708	272214
0.3725	1.25236	136.387	137448	274377
0.3775	1.27129	130.503	140364	276027
0.3825	1.28432	126.493	142381	277153
0.3875	1.29267	123.941	143678	277870
0.3925	1.29771	122.405	144463	278303
0.3975	1.30059	121.528	144913	278551
0.4025	1.30216	121.051	145158	278687
0.4075	1.30296	120.804	145285	278759
0.4125	1.30334	120.682	145347	278797
0.4175	1.3035	120.624	145377	278820
0.4225	1.30356	120.595	145392	278836
0.4275	1.30357	120.58	145400	278848
0.4325	1.30358	120.567	145406	278859
0.4375	1.30357	120.556	145411	278870
0.4425	1.30356	120.547	145416	278881
0.4475	1.30353	120.535	145422	278901
0.4525	1.30347	120.516	145431	278931
0.4575	1.30345	120.493	145443	278957
0.4625	1.30357	120.436	145471	278986
0.4675	1.30411	120.251	145564	279050
0.4725	1.30572	119.794	145825	279204
0.4775	1.31012	118.569	146517	279588
0.4825	1.3156	116.286	147378	280058
0.4875	0.174257	113.948	147818	1.26608e+06
0.4925	0.174331	112.465	147923	1.26644e+06
0.4975	0.174357	111.443	147960	1.26657e+06
0.5025	0.174371	110.741	147979	1.26664e+06
0.5075	0.174383	110.175	147997	1.2667e+06
0.5125	0.174389	109.804	148006	1.26673e+06
0.5175	0.174389	109.449	148007	1.26674e+06
0.5225	0.17438	109.016	147994	1.2667e+06
0.5275	0.174364	108.645	147972	1.26662e+06
0.5325	0.174353	108.375	147957	1.26657e+06
0.5375	0.174358	108.266	147964	1.2666e+06
0.5425	0.174366	108.187	147975	1.26664e+06
0.5475	0.174371	108.134	147983	1.26667e+06
0.5525	0.174375	108.096	147988	1.26669e+06
0.5575	0.174377	108.067	147992	1.2667e+06
0.5625	0.17438	108.044	147996	1.26672e+06
0.5675	0.174381	108.026	147999	1.26673e+06
0.5725	0.174382	108.012	148001	1.26674e+06
0.5775	0.174383	108.001	148002	1.26675e+06
0.5825	0.174384	107.993	148003	1.26675e+06
0.5875	0.174384	107.986	148004	1.26676e+06
0.5925	0.174384	107.98	148005	1.26676e+06
0.5975	0.174384	107.977	148006	1.26677e+06
0.6025	0.174384	107.973	148006	1.26677e+06
0.6075	0.174384	107.968	148007	1.26677e+06
0.6125	0.174385	107.964	148007	1.26677e+06
0.6175	0.174385	107.961	148007	1.26677e+06
