x	rho	u	p	e
0.0025	1.33327	111.796	149995	281254
0.0075	1.33327	111.796	149995	281254
0.0125	1.33327	111.796	149995	281254
0.0175	1.33327	111.796	149995	281254
0.0225	1.33327	111.796	149995	281254
0.0275	1.33327	111.796	149995	281254
0.0325	1.33327	111.796	149995	281254
0.0375	1.33327	111.796	149995	281254
0.0425	1.33327	111.796	149995	281254
0.0475	1.33327	111.796	149995	281254
0.0525	1.33327	111.796	149995	281254
0.0575	1.33327	111.796	149995	281254
0.0625	1.33327	111.795	149995	281255
0.0675	1.33327	111.795	149995	281255
0.0725	1.33327	111.795	149995	281255
0.0775	1.33327	111.795	149995	281255
0.0825	1.33327	111.795	149995	281255
0.0875	1.33327	111.795	149995	281255
0.0925	1.33327	111.795	149995	281255
0.0975	1.33327	111.795	149995	281255
0.1025	1.33327	111.795	149995	281255
0.1075	1.33327	111.795	149995	281255
0.1125	1.33327	111.795	149995	281255
0.1175	1.33327	111.795	149995	281255
0.1225	1.33327	111.795	149995	281255
0.1275	1.33327	111.795	149995	281255
0.1325	1.33327	111.795	149995	281255
0.1375	1.33327	111.795	149995	281255
0.1425	1.33327	111.795	149995	281255
0.1475	1.33327	111.795	149996	281255
0.1525	1.33327	111.795	149996	281255
0.1575	1.33326	111.795	149995	281256
0.1625	1.33324	111.796	149995	281259
0.1675	1.3332	111.801	149993	281264
0.1725	1.3331	111.812	149986	281273
0.1775	1.33289	111.84	149972	281290
0.1825	1.3325	111.898	149941	281316
0.1875	1.33179	112.009	149882	281354
0.1925	1.33063	112.205	149778	281404
0.1975	1.32886	112.555	149594	281433
0.2025	1.32634	113.15	149280	281375
0.2075	1.32292	114.084	148789	281175
0.2125	1.31813	115.498	148048	280793
0.2175	1.31156	117.498	147006	280211
0.2225	1.30294	120.17	145623	279413
0.2275	1.29211	123.567	143881	278385
0.2325	1.27898	127.719	141775	277125
0.2375	1.26388	132.525	139371	275680
0.2425	1.2493	137.204	137064	274281
0.2475	1.23584	141.514	134966	273025
0.2525	1.22371	145.405	133095	271908
0.2575	1.21311	148.819	131472	270941
0.2625	1.2042	151.706	130113	270125
0.2675	1.19702	154.04	129023	269467
0.2725	1.19154	155.831	128192	268962
0.2775	1.18759	157.128	127593	268595
0.2825	1.18492	158.008	127187	268346
0.2875	1.18323	158.567	126931	268186
0.2925	1.18224	158.898	126779	268091
0.2975	1.1817	159.08	126696	268038
0.3025	1.18143	159.173	126654	268009
0.3075	1.1813	159.217	126634	267996
0.3125	1.18126	159.237	126625	267987
0.3175	1.18123	159.244	126621	267984
0.3225	1.18124	159.247	126619	267981
0.3275	1.18124	159.247	126619	267979
0.3325	1.18125	159.245	126620	267979
0.3375	1.18128	159.235	126624	267980
0.3425	1.18139	159.201	126640	267989
0.3475	1.18174	159.088	126691	268019
0.3525	1.18278	158.746	126848	268113
0.3575	1.18575	157.772	127295	268383
0.3625	1.19361	155.205	128478	269096
0.3675	1.21217	149.181	131290	270776
0.3725	1.24686	138.12	136595	273879
0.3775	1.27617	129.025	141106	276425
0.3825	1.29194	124.177	143557	277793
0.3875	1.29922	121.96	144691	278419
0.3925	1.30223	121.051	145159	278674
0.3975	1.30335	120.708	145335	278773
0.4025	1.30372	120.589	145396	278810
0.4075	1.30385	120.553	145415	278820
0.4125	1.30386	120.543	145420	278825
0.4175	1.30386	120.543	145420	278825
0.4225	1.30384	120.545	145418	278827
0.4275	1.30381	120.545	145419	278833
0.4325	1.30381	120.543	145419	278835
0.4375	1.30381	120.539	145421	278838
0.4425	1.30379	120.537	145421	278843
0.4475	1.30377	120.537	145422	278848
0.4525	1.30375	120.537	145422	278854
0.4575	1.30373	120.529	145426	278865
0.4625	1.3038	120.484	145449	278896
0.4675	1.30426	120.311	145538	278967
0.4725	1.30587	119.795	145804	279132
0.4775	1.30963	118.644	146398	279465
0.4825	1.31733	116.386	147612	280135
0.4875	0.17474	111.166	148508	1.26848e+06
0.4925	0.174754	109.812	148529	1.26855e+06
0.4975	0.174745	109.159	148515	1.26851e+06
0.5025	0.174712	108.822	148472	1.26837e+06
0.5075	0.174661	108.675	148403	1.26815e+06
0.5125	0.174586	108.671	148299	1.26781e+06
0.5175	0.174498	108.648	148175	1.26739e+06
0.5225	0.174422	108.413	148068	1.26703e+06
0.5275	0.174378	108.182	148006	1.26682e+06
0.5325	0.174366	108.097	147991	1.26677e+06
0.5375	0.174371	108.065	147997	1.26679e+06
0.5425	0.174374	108.023	148002	1.26682e+06
0.5475	0.174375	108.003	148006	1.26683e+06
0.5525	0.174375	107.991	148008	1.26685e+06
0.5575	0.174374	107.984	148009	1.26687e+06
0.5625	0.174373	107.984	148009	1.26687e+06
0.5675	0.174371	107.99	148007	1.26688e+06
0.5725	0.174367	108.01	148003	1.26687e+06
0.5775	0.174364	108.023	148000	1.26687e+06
0.5825	0.174363	108.021	148001	1.26688e+06
0.5875	0.174364	108.005	148004	1.2669e+06
0.5925	0.174368	107.971	148011	1.26693e+06
0.5975	0.17437	107.945	148015	1.26695e+06
0.6025	0.174371	107.935	148017	1.26696e+06
0.6075	0.174369	107.931	148017	1.26697e+06
0.6125	0.174367	107.932	148016	1.26697e+06
0.6175	0.174365	107.936	148014	1.26697e+06
